WARNING:2721095000.0 ns:Stack.Node_1_Verifier:Measurement: ['I', 'Z', 'I', 'Z']
WARNING:2721095000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in I basis
WARNING:2883545000.0 ns:Stack.Node_2_Member:Copy: 2, Received qubit action: measure
WARNING:2883545000.0 ns:Stack.Node_2_Member:Node_2 will measure in Z basis
WARNING:3043345000.0 ns:Stack.Node_3_Member:Copy: 2, Received qubit action: measure
WARNING:3043345000.0 ns:Stack.Node_3_Member:Node_3 will measure in I basis
WARNING:3043845000.0 ns:Stack.Node_4_Member:Copy: 2, Received qubit action: measure
WARNING:3043845000.0 ns:Stack.Node_4_Member:Node_4 will measure in Z basis
WARNING:3349445000.0 ns:Stack.Node_1_Verifier:Copy: 3, qubit action: measure
WARNING:3349445000.0 ns:Stack.Node_1_Verifier:Measurement: ['I', 'Z', 'Z', 'I']
WARNING:3349445000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in I basis
WARNING:3806645000.0 ns:Stack.Node_2_Member:Copy: 3, Received qubit action: measure
WARNING:3806645000.0 ns:Stack.Node_2_Member:Node_2 will measure in Z basis
WARNING:3918310000.0 ns:Stack.Node_3_Member:Copy: 3, Received qubit action: measure
WARNING:3918310000.0 ns:Stack.Node_3_Member:Node_3 will measure in Z basis
WARNING:3920810000.0 ns:Stack.Node_4_Member:Copy: 3, Received qubit action: measure
WARNING:3920810000.0 ns:Stack.Node_4_Member:Node_4 will measure in I basis
WARNING:3972860000.0 ns:Stack.Node_1_Verifier:Copy: 4, qubit action: measure
WARNING:3972860000.0 ns:Stack.Node_1_Verifier:Measurement: ['X', 'Y', 'X', 'Y']
WARNING:3972860000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in X basis
WARNING:4180760000.0 ns:Stack.Node_2_Member:Copy: 4, Received qubit action: measure
WARNING:4180760000.0 ns:Stack.Node_2_Member:Node_2 will measure in Y basis
WARNING:4251475000.0 ns:Stack.Node_3_Member:Copy: 4, Received qubit action: measure
WARNING:4251475000.0 ns:Stack.Node_3_Member:Node_3 will measure in X basis
WARNING:4253990000.0 ns:Stack.Node_4_Member:Copy: 4, Received qubit action: measure
WARNING:4253990000.0 ns:Stack.Node_4_Member:Node_4 will measure in Y basis
WARNING:4553305000.0 ns:Stack.Node_1_Verifier:Copy: 5, qubit action: measure
WARNING:4553305000.0 ns:Stack.Node_1_Verifier:Measurement: ['Z', 'Z', 'I', 'I']
WARNING:4553305000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in Z basis
WARNING:4633855000.0 ns:Stack.Node_2_Member:Copy: 5, Received qubit action: measure
WARNING:4633855000.0 ns:Stack.Node_2_Member:Node_2 will measure in Z basis
WARNING:4945305000.0 ns:Stack.Node_3_Member:Copy: 5, Received qubit action: measure
WARNING:4945305000.0 ns:Stack.Node_3_Member:Node_3 will measure in I basis
WARNING:4945805000.0 ns:Stack.Node_4_Member:Copy: 5, Received qubit action: measure
WARNING:4945805000.0 ns:Stack.Node_4_Member:Node_4 will measure in I basis
WARNING:5128355000.0 ns:Stack.Node_1_Verifier:Copy: 6, qubit action: measure
WARNING:5128355000.0 ns:Stack.Node_1_Verifier:Measurement: ['X', 'Y', 'X', 'Y']
WARNING:5128355000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in X basis
WARNING:5232755000.0 ns:Stack.Node_2_Member:Copy: 6, Received qubit action: measure
WARNING:5232755000.0 ns:Stack.Node_2_Member:Node_2 will measure in Y basis
WARNING:5698105000.0 ns:Stack.Node_3_Member:Copy: 6, Received qubit action: measure
WARNING:5698105000.0 ns:Stack.Node_3_Member:Node_3 will measure in X basis
WARNING:5700620000.0 ns:Stack.Node_4_Member:Copy: 6, Received qubit action: measure
WARNING:5700620000.0 ns:Stack.Node_4_Member:Node_4 will measure in Y basis
WARNING:5764135000.0 ns:Stack.Node_1_Verifier:Copy: 7, qubit action: measure
WARNING:5764135000.0 ns:Stack.Node_1_Verifier:Measurement: ['X', 'Y', 'X', 'Y']
WARNING:5764135000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in X basis
WARNING:5975635000.0 ns:Stack.Node_2_Member:Copy: 7, Received qubit action: measure
WARNING:5975635000.0 ns:Stack.Node_2_Member:Node_2 will measure in Y basis
WARNING:6303735000.0 ns:Stack.Node_3_Member:Copy: 7, Received qubit action: measure
WARNING:6303735000.0 ns:Stack.Node_3_Member:Node_3 will measure in X basis
WARNING:6306250000.0 ns:Stack.Node_4_Member:Copy: 7, Received qubit action: measure
WARNING:6306250000.0 ns:Stack.Node_4_Member:Node_4 will measure in Y basis
WARNING:7028115000.0 ns:Stack.Node_1_Verifier:Copy: 8, qubit action: measure
WARNING:7028115000.0 ns:Stack.Node_1_Verifier:Measurement: ['Z', 'I', 'Z', 'I']
WARNING:7028115000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in Z basis
WARNING:7062315000.0 ns:Stack.Node_2_Member:Copy: 8, Received qubit action: measure
WARNING:7062315000.0 ns:Stack.Node_2_Member:Node_2 will measure in I basis
WARNING:7456565000.0 ns:Stack.Node_3_Member:Copy: 8, Received qubit action: measure
WARNING:7456565000.0 ns:Stack.Node_3_Member:Node_3 will measure in Z basis
WARNING:7459065000.0 ns:Stack.Node_4_Member:Copy: 8, Received qubit action: measure
WARNING:7459065000.0 ns:Stack.Node_4_Member:Node_4 will measure in I basis
WARNING:7472865000.0 ns:Stack.Node_1_Verifier:Copy: 9, qubit action: measure
WARNING:7472865000.0 ns:Stack.Node_1_Verifier:Measurement: ['Z', 'I', 'Z', 'I']
WARNING:7472865000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in Z basis
WARNING:7611465000.0 ns:Stack.Node_2_Member:Copy: 9, Received qubit action: measure
WARNING:7611465000.0 ns:Stack.Node_2_Member:Node_2 will measure in I basis
WARNING:7677215000.0 ns:Stack.Node_3_Member:Copy: 9, Received qubit action: measure
WARNING:7677215000.0 ns:Stack.Node_3_Member:Node_3 will measure in Z basis
WARNING:7679715000.0 ns:Stack.Node_4_Member:Copy: 9, Received qubit action: measure
WARNING:7679715000.0 ns:Stack.Node_4_Member:Node_4 will measure in I basis
WARNING:8039565000.0 ns:Stack.Node_1_Verifier:Copy: 10, qubit action: measure
WARNING:8039565000.0 ns:Stack.Node_1_Verifier:Measurement: ['Z', 'Z', 'Z', 'Z']
WARNING:8039565000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in Z basis
WARNING:8638965000.0 ns:Stack.Node_2_Member:Copy: 10, Received qubit action: measure
WARNING:8638965000.0 ns:Stack.Node_2_Member:Node_2 will measure in Z basis
WARNING:9062480000.0 ns:Stack.Node_3_Member:Copy: 10, Received qubit action: measure
WARNING:9062480000.0 ns:Stack.Node_3_Member:Node_3 will measure in Z basis
WARNING:9064980000.0 ns:Stack.Node_4_Member:Copy: 10, Received qubit action: measure
WARNING:9064980000.0 ns:Stack.Node_4_Member:Node_4 will measure in Z basis
WARNING:9389930000.0 ns:Stack.Node_1_Verifier:Copy: 11, qubit action: measure
WARNING:9389930000.0 ns:Stack.Node_1_Verifier:Measurement: ['Y', 'X', 'Y', 'X']
WARNING:9389930000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in Y basis
WARNING:9905630000.0 ns:Stack.Node_2_Member:Copy: 11, Received qubit action: measure
WARNING:9905630000.0 ns:Stack.Node_2_Member:Node_2 will measure in X basis
WARNING:12156145000.0 ns:Stack.Node_3_Member:Copy: 11, Received qubit action: measure
WARNING:12156145000.0 ns:Stack.Node_3_Member:Node_3 will measure in Y basis
WARNING:12158660000.0 ns:Stack.Node_4_Member:Copy: 11, Received qubit action: measure
WARNING:12158660000.0 ns:Stack.Node_4_Member:Node_4 will measure in X basis
WARNING:12214975000.0 ns:Stack.Node_1_Verifier:Copy: 12, qubit action: measure
WARNING:12214975000.0 ns:Stack.Node_1_Verifier:Measurement: ['Z', 'I', 'Z', 'I']
WARNING:12214975000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in Z basis
WARNING:12867925000.0 ns:Stack.Node_2_Member:Copy: 12, Received qubit action: measure
