# parameters:
#  num_nodes=4, num_iters=1000, ntest=3, state=ghz
# columns:
#  iteration   running_frequency   running_estimation   average_phase
102 0.0196078431372549 0.7151533125206881 0.6928267366088495
103 0.019417475728155338 0.7154973887382649 0.6928267366088495
104 0.019230769230769232 0.715836457713749 0.6928267366088495
105 0.01904761904761905 0.7161706397329102 0.6928267366088495
106 0.018867924528301886 0.7165000510745058 0.6928267366088495
107 0.018691588785046728 0.7168248041802915 0.6928267366088495
108 0.018518518518518517 0.7171450078162958 0.6928267366088495
109 0.01834862385321101 0.7174607672258869 0.6928267366088495
110 0.02727272727272727 0.7024458699575954 0.6928267366088495
111 0.02702702702702703 0.7028238246901349 0.6928267366088495
112 0.026785714285714284 0.7031966595048729 0.6928267366088495
113 0.02654867256637168 0.7035644889689957 0.6928267366088495
114 0.02631578947368421 0.7039274240921887 0.6928267366088495
115 0.02608695652173913 0.7042855724674252 0.6928267366088495
