# parameters:
#  num_nodes=4, num_iters=1000, ntest=3, state=ghz
# columns:
#  iteration   running_frequency   running_estimation   average_phase
98 0.02040816326530612 0.5774221199223946 0.6401054565452874
99 0.020202020202020204 0.5785398700968968 0.6401054565452874
100 0.02 0.5796397403637042 0.6401054565452874
101 0.019801980198019802 0.5807222037079497 0.6401054565452874
102 0.0196078431372549 0.5817877157323377 0.6401054565452874
103 0.019417475728155338 0.582836715472234 0.6401054565452874
104 0.019230769230769232 0.5838696261643916 0.6401054565452874
105 0.01904761904761905 0.5848868559724085 0.6401054565452874
106 0.018867924528301886 0.5858887986717722 0.6401054565452874
107 0.018691588785046728 0.5868758342971337 0.6401054565452874
108 0.018518518518518517 0.5878483297542535 0.6401054565452874
109 0.01834862385321101 0.5888066393988804 0.6401054565452874
110 0.01818181818181818 0.5897511055846624 0.6401054565452874
111 0.018018018018018018 0.5906820591820295 0.6401054565452874
